Invoice ID,Unit price,Quantity,Tax 5%,Total,Date,Time,cogs,gross margin percentage,gross income,Rating,Branch_Ameerpet,Branch_Gurgaon,Branch_Jayanagar,Gender_Female,Gender_Male,City_Banglore,City_Hyderabad,City_Mumbai,Payment_Cash,Payment_Credit/Debit card,Payment_UPI,Customer type_Member,Customer type_Non-Member,Product line_Electronic accessories,Product line_Fashion accessories,Product line_Food and beverages,Product line_Health and beauty,Product line_Home and lifestyle,Product line_Sports and travel
765-26-6951,72.61,6,21.783,457.443,1/1/2019,10:39,435.66,4.761904762,21.783,6.9,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
530-90-9855,47.59,8,19.036,399.756,1/1/2019,14:47,380.72,4.761904762,19.036,5.7,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0
891-01-7034,74.71,6,22.413,470.673,1/1/2019,19:07,448.26,4.761904762,22.413,6.7,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
493-65-6248,36.98,10,18.49,388.29,1/1/2019,19:48,369.8,4.761904762,18.49,7,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
556-97-7101,63.22,2,6.322,132.762,1/1/2019,15:51,126.44,4.761904762,6.322,8.5,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
133-14-7229,62.87,2,6.287,132.027,1/1/2019,11:43,125.74,4.761904762,6.287,5,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
651-88-7328,65.74,9,29.583,621.243,1/1/2019,13:55,591.66,4.761904762,29.583,7.7,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
182-52-7000,27.04,4,5.408,113.568,1/1/2019,20:26,108.16,4.761904762,5.408,6.9,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
416-17-9926,74.22,10,37.11,779.31,1/1/2019,14:42,742.2,4.761904762,37.11,4.3,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0
271-77-8740,29.22,6,8.766,184.086,1/1/2019,11:40,175.32,4.761904762,8.766,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
770-42-8960,21.12,8,8.448,177.408,1/1/2019,19:31,168.96,4.761904762,8.448,6.3,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
746-04-1077,84.63,10,42.315,888.615,1/1/2019,11:36,846.3,4.761904762,42.315,9,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
504-35-8843,42.47,1,2.1235,44.5935,1/2/2019,16:57,42.47,4.761904762,2.1235,5.7,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1
446-47-6729,99.82,2,9.982,209.622,1/2/2019,18:09,199.64,4.761904762,9.982,6.7,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
244-08-0162,34.21,10,17.105,359.205,1/2/2019,13:00,342.1,4.761904762,17.105,5.1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
198-84-7132,40.61,9,18.2745,383.7645,1/2/2019,13:40,365.49,4.761904762,18.2745,7,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0
744-09-5786,22.01,6,6.603,138.663,1/2/2019,18:50,132.06,4.761904762,6.603,7.6,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0
712-39-0363,41.66,6,12.498,262.458,1/2/2019,15:24,249.96,4.761904762,12.498,5.6,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0
345-68-9016,31.67,8,12.668,266.028,1/2/2019,16:19,253.36,4.761904762,12.668,5.6,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
670-71-7306,44.63,6,13.389,281.169,1/2/2019,20:08,267.78,4.761904762,13.389,5.1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1
249-42-3782,70.01,5,17.5025,367.5525,1/3/2019,11:36,350.05,4.761904762,17.5025,5.5,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0
749-24-1565,23.03,9,10.3635,217.6335,1/3/2019,12:02,207.27,4.761904762,10.3635,7.9,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
687-15-1097,21.12,2,2.112,44.352,1/3/2019,19:17,42.24,4.761904762,2.112,9.7,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
422-29-8786,67.09,5,16.7725,352.2225,1/3/2019,16:47,335.45,4.761904762,16.7725,9.1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
343-87-0864,75.88,1,3.794,79.674,1/3/2019,10:30,75.88,4.761904762,3.794,7.1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0
875-31-8302,93.38,1,4.669,98.049,1/3/2019,13:07,93.38,4.761904762,4.669,9.6,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1
501-61-1753,63.15,6,18.945,397.845,1/3/2019,20:24,378.9,4.761904762,18.945,9.8,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
552-44-5977,62,8,24.8,520.8,1/3/2019,19:08,496,4.761904762,24.8,6.2,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0
279-74-2924,72.17,1,3.6085,75.7785,1/4/2019,19:40,72.17,4.761904762,3.6085,6.1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0
672-51-8681,66.65,9,29.9925,629.8425,1/4/2019,18:19,599.85,4.761904762,29.9925,9.7,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
656-16-1063,46.42,3,6.963,146.223,1/4/2019,13:24,139.26,4.761904762,6.963,4.4,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1
731-14-2199,35.54,10,17.77,373.17,1/4/2019,13:34,355.4,4.761904762,17.77,7,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
725-32-9708,68.71,4,13.742,288.582,1/4/2019,19:01,274.84,4.761904762,13.742,4.1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
132-23-6451,20.97,5,5.2425,110.0925,1/4/2019,13:21,104.85,4.761904762,5.2425,7.8,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0
750-67-8428,74.69,7,26.1415,548.9715,1/5/2019,13:08,522.83,4.761904762,26.1415,9.1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
628-34-3388,27.38,6,8.214,172.494,1/5/2019,20:54,164.28,4.761904762,8.214,7.9,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
217-58-1179,62.65,4,12.53,263.13,1/5/2019,11:25,250.6,4.761904762,12.53,4.2,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0
144-51-6085,70.74,4,14.148,297.108,1/5/2019,16:05,282.96,4.761904762,14.148,4.4,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0
843-01-4703,35.38,9,15.921,334.341,1/5/2019,19:50,318.42,4.761904762,15.921,9.6,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
573-98-8548,31.9,1,1.595,33.495,1/5/2019,12:40,31.9,4.761904762,1.595,9.1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
209-61-0206,42.91,5,10.7275,225.2775,1/5/2019,17:29,214.55,4.761904762,10.7275,6.1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
339-12-4827,73.96,1,3.698,77.658,1/5/2019,11:32,73.96,4.761904762,3.698,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
841-18-8232,71.2,1,3.56,74.76,1/5/2019,20:40,71.2,4.761904762,3.56,9.2,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
801-88-0346,76.06,3,11.409,239.589,1/5/2019,20:30,228.18,4.761904762,11.409,9.8,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
433-08-7822,78.89,7,27.6115,579.8415,1/5/2019,19:48,552.23,4.761904762,27.6115,7.5,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
489-82-1237,93.88,7,32.858,690.018,1/5/2019,11:51,657.16,4.761904762,32.858,7.3,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
393-65-2792,89.48,10,44.74,939.54,1/6/2019,12:46,894.8,4.761904762,44.74,9.6,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
704-11-6354,58.9,8,23.56,494.76,1/6/2019,11:23,471.2,4.761904762,23.56,8.9,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0
490-29-1201,15.34,1,0.767,16.107,1/6/2019,11:09,15.34,4.761904762,0.767,6.5,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
834-25-9262,81.68,4,16.336,343.056,1/6/2019,12:12,326.72,4.761904762,16.336,9.1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
662-72-2873,40.94,5,10.235,214.935,1/6/2019,13:58,204.7,4.761904762,10.235,9.9,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
826-58-8051,62.19,4,12.438,261.198,1/6/2019,19:46,248.76,4.761904762,12.438,4.3,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
729-06-2010,80.47,9,36.2115,760.4415,1/6/2019,11:18,724.23,4.761904762,36.2115,9.2,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0
852-82-2749,64.59,4,12.918,271.278,1/6/2019,13:35,258.36,4.761904762,12.918,9.3,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1
846-10-0341,42.57,7,14.8995,312.8895,1/6/2019,11:51,297.99,4.761904762,14.8995,6.8,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
232-16-2483,68.12,1,3.406,71.526,1/7/2019,12:28,68.12,4.761904762,3.406,6.8,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
109-28-2512,97.61,6,29.283,614.943,1/7/2019,15:01,585.66,4.761904762,29.283,9.9,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0
799-71-1548,77.72,4,15.544,326.424,1/7/2019,16:11,310.88,4.761904762,15.544,8.8,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0
126-54-1082,21.54,9,9.693,203.553,1/7/2019,11:44,193.86,4.761904762,9.693,8.8,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
566-19-5475,47.97,7,16.7895,352.5795,1/7/2019,20:52,335.79,4.761904762,16.7895,6.2,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0
526-86-8552,21.82,10,10.91,229.11,1/7/2019,17:36,218.2,4.761904762,10.91,7.1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
889-04-9723,89.14,4,17.828,374.388,1/7/2019,12:20,356.56,4.761904762,17.828,7.8,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
541-48-8554,60.95,9,27.4275,575.9775,1/7/2019,12:08,548.55,4.761904762,27.4275,6,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
390-31-6381,27.22,3,4.083,85.743,1/7/2019,12:37,81.66,4.761904762,4.083,7.3,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0
189-08-9157,31.73,9,14.2785,299.8485,1/8/2019,16:17,285.57,4.761904762,14.2785,5.9,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
663-86-9076,68.54,8,27.416,575.736,1/8/2019,15:57,548.32,4.761904762,27.416,8.5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
571-94-0759,74.6,10,37.3,783.3,1/8/2019,20:55,746,4.761904762,37.3,9.5,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
750-57-9686,45.38,4,9.076,190.596,1/8/2019,13:48,181.52,4.761904762,9.076,8.7,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
192-98-7397,12.78,1,0.639,13.419,1/8/2019,14:11,12.78,4.761904762,0.639,9.5,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0
674-15-9296,37.14,5,9.285,194.985,1/8/2019,13:05,185.7,4.761904762,9.285,5,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1
387-49-4215,48.5,3,7.275,152.775,1/8/2019,12:50,145.5,4.761904762,7.275,6.7,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
