Invoice ID,Unit price,Quantity,Tax 5%,Total,Date,Time,cogs,gross margin percentage,gross income,Rating,Branch_Ameerpet,Branch_Gurgaon,Branch_Jayanagar,Gender_Female,Gender_Male,City_Banglore,City_Hyderabad,City_Mumbai,Payment_Cash,Payment_Credit/Debit card,Payment_UPI,Customer type_Member,Customer type_Non-Member,Product line_Electronic accessories,Product line_Fashion accessories,Product line_Food and beverages,Product line_Health and beauty,Product line_Home and lifestyle,Product line_Sports and travel
551-21-3069,23.07,9,10.3815,218.0115,2/1/2019,11:27,207.63,4.761904762,10.3815,4.9,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
237-01-6122,80.79,9,36.3555,763.4655,2/1/2019,20:31,727.11,4.761904762,36.3555,9.5,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
105-31-1824,69.52,7,24.332,510.972,2/1/2019,15:10,486.64,4.761904762,24.332,8.5,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
870-76-1733,14.23,5,3.5575,74.7075,2/1/2019,10:08,71.15,4.761904762,3.5575,4.4,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
358-88-9262,87.48,6,26.244,551.124,2/1/2019,18:43,524.88,4.761904762,26.244,5.1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
443-82-0585,77.68,4,15.536,326.256,2/1/2019,19:54,310.72,4.761904762,15.536,8.4,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
554-53-8700,56.11,2,5.611,117.831,2/2/2019,10:11,112.22,4.761904762,5.611,6.3,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
382-03-4532,18.33,1,0.9165,19.2465,2/2/2019,18:50,18.33,4.761904762,0.9165,4.3,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
642-32-2990,10.96,10,5.48,115.08,2/2/2019,20:48,109.6,4.761904762,5.48,6,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
376-02-8238,93.87,8,37.548,788.508,2/2/2019,18:42,750.96,4.761904762,37.548,8.3,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
845-51-0542,46.55,9,20.9475,439.8975,2/2/2019,15:34,418.95,4.761904762,20.9475,6.4,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0
