Invoice ID,Unit price,Quantity,Tax 5%,Total,Date,Time,cogs,gross margin percentage,gross income,Rating,Branch_Ameerpet,Branch_Gurgaon,Branch_Jayanagar,Gender_Female,Gender_Male,City_Banglore,City_Hyderabad,City_Mumbai,Payment_Cash,Payment_Credit/Debit card,Payment_UPI,Customer type_Member,Customer type_Non-Member,Product line_Electronic accessories,Product line_Fashion accessories,Product line_Food and beverages,Product line_Health and beauty,Product line_Home and lifestyle,Product line_Sports and travel
189-98-2939,78.55,9,35.3475,742.2975,3/1/2019,13:22,706.95,4.761904762,35.3475,7.2,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0
453-63-6187,27.5,3,4.125,86.625,3/1/2019,15:40,82.5,4.761904762,4.125,6.5,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0
153-58-4872,74.89,4,14.978,314.538,3/1/2019,15:32,299.56,4.761904762,14.978,4.2,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
220-28-1851,34.73,2,3.473,72.933,3/1/2019,18:14,69.46,4.761904762,3.473,9.7,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
339-96-8318,81.31,7,28.4585,597.6285,3/1/2019,19:49,569.17,4.761904762,28.4585,6.3,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0
207-73-1363,69.51,2,6.951,145.971,3/1/2019,12:15,139.02,4.761904762,6.951,8.1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
470-31-3286,14.82,3,2.223,46.683,3/1/2019,11:30,44.46,4.761904762,2.223,8.7,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
811-03-8790,45.48,10,22.74,477.54,3/1/2019,10:22,454.8,4.761904762,22.74,4.8,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
247-11-2470,22.32,4,4.464,93.744,3/1/2019,16:23,89.28,4.761904762,4.464,4.4,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
238-45-6950,53.72,1,2.686,56.406,3/1/2019,20:03,53.72,4.761904762,2.686,6.4,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0
549-59-1358,88.63,3,13.2945,279.1845,3/2/2019,17:36,265.89,4.761904762,13.2945,6,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1
225-98-1496,27.02,3,4.053,85.113,3/2/2019,13:01,81.06,4.761904762,4.053,7.1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
817-69-8206,99.73,9,44.8785,942.4485,3/2/2019,19:42,897.57,4.761904762,44.8785,6.5,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
346-84-3103,13.22,5,3.305,69.405,3/2/2019,19:26,66.1,4.761904762,3.305,4.3,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
883-17-4236,14.39,2,1.439,30.219,3/2/2019,19:44,28.78,4.761904762,1.439,7.2,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
565-67-6697,27,9,12.15,255.15,3/2/2019,14:16,243,4.761904762,12.15,4.8,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0
878-30-2331,54.55,10,27.275,572.775,3/2/2019,11:22,545.5,4.761904762,27.275,7.1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
408-26-9866,73.98,7,25.893,543.753,3/2/2019,16:42,517.86,4.761904762,25.893,4.1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
576-31-4774,73.41,3,11.0115,231.2415,3/2/2019,13:10,220.23,4.761904762,11.0115,4,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
640-48-5028,88.39,9,39.7755,835.2855,3/2/2019,12:40,795.51,4.761904762,39.7755,6.3,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
860-73-6466,39.47,2,3.947,82.887,3/2/2019,16:16,78.94,4.761904762,3.947,5,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
607-76-6216,92.49,5,23.1225,485.5725,3/2/2019,16:35,462.45,4.761904762,23.1225,8.6,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
725-54-0677,85.6,7,29.96,629.16,3/2/2019,13:50,599.2,4.761904762,29.96,5.3,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
636-98-3364,26.26,3,3.939,82.719,3/2/2019,12:36,78.78,4.761904762,3.939,6.3,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
825-94-5922,25.31,2,2.531,53.151,3/2/2019,19:26,50.62,4.761904762,2.531,7.2,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
720-72-2436,66.52,4,13.304,279.384,3/2/2019,18:14,266.08,4.761904762,13.304,6.9,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
172-42-8274,38.27,2,3.827,80.367,3/2/2019,18:18,76.54,4.761904762,3.827,5.8,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
303-96-2227,97.38,10,48.69,1022.49,3/2/2019,17:16,973.8,4.761904762,48.69,4.4,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
631-41-3108,46.33,7,16.2155,340.5255,3/3/2019,13:23,324.31,4.761904762,16.2155,7.4,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
777-82-7220,30.12,8,12.048,253.008,3/3/2019,13:01,240.96,4.761904762,12.048,7.7,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0
861-77-0145,81.97,10,40.985,860.685,3/3/2019,14:30,819.7,4.761904762,40.985,9.2,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0
733-33-4967,20.85,8,8.34,175.14,3/3/2019,19:17,166.8,4.761904762,8.34,6.3,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0
175-54-2529,22.17,8,8.868,186.228,3/3/2019,17:01,177.36,4.761904762,8.868,9.6,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0
305-14-0245,94.49,8,37.796,793.716,3/3/2019,19:00,755.92,4.761904762,37.796,7.5,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
