Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
189-98-2939,Ameerpet,Hyderabad,Non-Member,Female,Electronic accessories,15.69,3,2.3535,49.4235,3/1/2019,14:13,Credit/Debit card,47.07,4.761904762,2.3535,5.8
453-63-6187,Gurgaon,Banglore,Non-Member,Female,Electronic accessories,99.69,1,4.9845,104.6745,3/1/2019,10:23,Credit/Debit card,99.69,4.761904762,4.9845,8
153-58-4872,Ameerpet,Hyderabad,Member,Female,Fashion accessories,88.15,3,13.2225,277.6725,3/1/2019,10:11,UPI,264.45,4.761904762,13.2225,7.9
220-28-1851,Ameerpet,Hyderabad,Member,Female,Sports and travel,27.93,5,6.9825,146.6325,3/1/2019,15:48,Cash,139.65,4.761904762,6.9825,5.9
339-96-8318,Ameerpet,Hyderabad,Member,Male,Fashion accessories,55.45,1,2.7725,58.2225,3/1/2019,17:46,Credit/Debit card,55.45,4.761904762,2.7725,4.9
207-73-1363,Jayanagar,Mumbai,Non-Member,Female,Sports and travel,42.97,3,6.4455,135.3555,3/1/2019,11:46,Cash,128.91,4.761904762,6.4455,9.3
470-31-3286,Gurgaon,Banglore,Member,Male,Sports and travel,17.14,7,5.999,125.979,3/1/2019,12:07,Credit/Debit card,119.98,4.761904762,5.999,7.9
811-03-8790,Jayanagar,Mumbai,Member,Female,Fashion accessories,58.75,6,17.625,370.125,3/1/2019,18:14,Credit/Debit card,352.5,4.761904762,17.625,5.9
247-11-2470,Gurgaon,Banglore,Member,Female,Food and beverages,87.1,10,43.55,914.55,3/1/2019,14:45,Credit/Debit card,871,4.761904762,43.55,9.9
238-45-6950,Gurgaon,Banglore,Non-Member,Female,Sports and travel,98.8,2,9.88,207.48,3/1/2019,11:39,Cash,197.6,4.761904762,9.88,7.7
549-59-1358,Ameerpet,Hyderabad,Non-Member,Female,Fashion accessories,48.63,4,9.726,204.246,3/2/2019,15:44,UPI,194.52,4.761904762,9.726,7.6
225-98-1496,Jayanagar,Mumbai,Member,Male,Food and beverages,57.74,3,8.661,181.881,3/2/2019,13:06,UPI,173.22,4.761904762,8.661,7.7
817-69-8206,Jayanagar,Mumbai,Non-Member,Female,Health and beauty,17.97,4,3.594,75.474,3/2/2019,20:43,UPI,71.88,4.761904762,3.594,6.4
346-84-3103,Gurgaon,Banglore,Member,Female,Health and beauty,47.71,6,14.313,300.573,3/2/2019,14:19,UPI,286.26,4.761904762,14.313,4.4
883-17-4236,Jayanagar,Mumbai,Non-Member,Female,Sports and travel,40.62,2,4.062,85.302,3/2/2019,10:01,Credit/Debit card,81.24,4.761904762,4.062,4.1
565-67-6697,Ameerpet,Hyderabad,Member,Male,Fashion accessories,56.04,10,28.02,588.42,3/2/2019,19:30,UPI,560.4,4.761904762,28.02,4.4
878-30-2331,Jayanagar,Mumbai,Member,Male,Food and beverages,93.4,2,9.34,196.14,3/2/2019,16:34,Cash,186.8,4.761904762,9.34,5.5
408-26-9866,Jayanagar,Mumbai,Non-Member,Female,Health and beauty,73.41,3,11.0115,231.2415,3/2/2019,13:10,UPI,220.23,4.761904762,11.0115,4
576-31-4774,Gurgaon,Banglore,Non-Member,Male,Health and beauty,33.64,8,13.456,282.576,3/2/2019,17:10,Credit/Debit card,269.12,4.761904762,13.456,9.3
640-48-5028,Ameerpet,Hyderabad,Non-Member,Female,Electronic accessories,45.48,10,22.74,477.54,3/2/2019,10:22,Credit/Debit card,454.8,4.761904762,22.74,4.8
860-73-6466,Jayanagar,Mumbai,Member,Male,Fashion accessories,83.77,2,8.377,175.917,3/2/2019,19:57,Cash,167.54,4.761904762,8.377,4.6
607-76-6216,Jayanagar,Mumbai,Member,Female,Sports and travel,64.08,7,22.428,470.988,3/2/2019,19:29,Credit/Debit card,448.56,4.761904762,22.428,7.3
